"feature" "subject_activity" "average"
"tBodyAcc-mean()-X" "1" 0.265696920582133
"tBodyAcc-mean()-Y" "1" -0.0182981725176081
"tBodyAcc-mean()-Z" "1" -0.10784573454611
"tBodyAcc-std()-X" "1" -0.545795331328326
"tBodyAcc-std()-Y" "1" -0.367716218227378
"tBodyAcc-std()-Z" "1" -0.502645746562824
"tGravityAcc-mean()-X" "1" 0.744867411573487
"tGravityAcc-mean()-Y" "1" -0.0825562579855908
"tGravityAcc-mean()-Z" "1" 0.072339870389049
"tGravityAcc-std()-X" "1" -0.959859435936599
"tGravityAcc-std()-Y" "1" -0.951150627458213
"tGravityAcc-std()-Z" "1" -0.925817590867435
"tBodyAccJerk-mean()-X" "1" 0.0770930495126801
"tBodyAccJerk-mean()-Y" "1" 0.0165908438802305
"tBodyAccJerk-mean()-Z" "1" -0.00910758730117003
"tBodyAccJerk-std()-X" "1" -0.524721922818732
"tBodyAccJerk-std()-Y" "1" -0.470412403511239
"tBodyAccJerk-std()-Z" "1" -0.717322274881844
"tBodyGyro-mean()-X" "1" -0.0208764064320173
"tBodyGyro-mean()-Y" "1" -0.0880722729400576
"tBodyGyro-mean()-Z" "1" 0.0862641666597983
"tBodyGyro-std()-X" "1" -0.686555715201729
"tBodyGyro-std()-Y" "1" -0.450979810499568
"tBodyGyro-std()-Z" "1" -0.597496136795101
"tBodyGyroJerk-mean()-X" "1" -0.0971120197265994
"tBodyGyroJerk-mean()-Y" "1" -0.0417164808293948
"tBodyGyroJerk-mean()-Z" "1" -0.0471393985477522
"tBodyGyroJerk-std()-X" "1" -0.637812687210375
"tBodyGyroJerk-std()-Y" "1" -0.634472244550432
"tBodyGyroJerk-std()-Z" "1" -0.664591977786455
"tBodyAccMag-mean()" "1" -0.453632943768818
"tBodyAccMag-std()" "1" -0.497096402038329
"tGravityAccMag-mean()" "1" -0.453632943768818
"tGravityAccMag-std()" "1" -0.497096402038329
"tBodyAccJerkMag-mean()" "1" -0.545431612066571
"tBodyAccJerkMag-std()" "1" -0.515922167555159
"tBodyGyroMag-mean()" "1" -0.475404785802305
"tBodyGyroMag-std()" "1" -0.499839593745821
"tBodyGyroJerkMag-mean()" "1" -0.639517432642651
"tBodyGyroJerkMag-std()" "1" -0.652050770910663
"fBodyAcc-mean()-X" "1" -0.531895161258213
"fBodyAcc-mean()-Y" "1" -0.406435448904438
"fBodyAcc-mean()-Z" "1" -0.596411165253602
"fBodyAcc-std()-X" "1" -0.553060616663401
"fBodyAcc-std()-Y" "1" -0.390150939647061
"fBodyAcc-std()-Z" "1" -0.498583091676081
"fBodyAcc-meanFreq()-X" "1" -0.180558714010749
"fBodyAcc-meanFreq()-Y" "1" 0.0576291646962536
"fBodyAcc-meanFreq()-Z" "1" 0.0583692776609798
"fBodyAccJerk-mean()-X" "1" -0.547348892435764
"fBodyAccJerk-mean()-Y" "1" -0.507343617969859
"fBodyAccJerk-mean()-Z" "1" -0.695305113832853
"fBodyAccJerk-std()-X" "1" -0.543979776127867
"fBodyAccJerk-std()-Y" "1" -0.466251676533372
"fBodyAccJerk-std()-Z" "1" -0.737861932680115
"fBodyAccJerk-meanFreq()-X" "1" -0.0488005965884726
"fBodyAccJerk-meanFreq()-Y" "1" -0.21527915818415
"fBodyAccJerk-meanFreq()-Z" "1" -0.0964496376997118
"fBodyGyro-mean()-X" "1" -0.623219182311527
"fBodyGyro-mean()-Y" "1" -0.505309434070029
"fBodyGyro-mean()-Z" "1" -0.553529065425648
"fBodyGyro-std()-X" "1" -0.708263420861671
"fBodyGyro-std()-Y" "1" -0.429825832648703
"fBodyGyro-std()-Z" "1" -0.650476162132565
"fBodyGyro-meanFreq()-X" "1" -0.0320324102759078
"fBodyGyro-meanFreq()-Y" "1" -0.0901517235974063
"fBodyGyro-meanFreq()-Z" "1" -0.0180063943472334
"fBodyAccMag-mean()" "1" -0.478448523354179
"fBodyAccMag-std()" "1" -0.589710231217867
"fBodyAccMag-meanFreq()" "1" 0.142062162506138
"fBodyBodyAccJerkMag-mean()" "1" -0.499075765624092
"fBodyBodyAccJerkMag-std()" "1" -0.541823079570029
"fBodyBodyAccJerkMag-meanFreq()" "1" 0.200055179527839
"fBodyBodyGyroMag-mean()" "1" -0.535002770337752
"fBodyBodyGyroMag-std()" "1" -0.566576670397695
"fBodyBodyGyroMag-meanFreq()" "1" 0.0649309438160231
"fBodyBodyGyroJerkMag-mean()" "1" -0.645970655298847
"fBodyBodyGyroJerkMag-std()" "1" -0.685811262634006
"fBodyBodyGyroJerkMag-meanFreq()" "1" 0.198031580056455
"tBodyAcc-mean()-X" "10" 0.27684847392517
"tBodyAcc-mean()-Y" "10" -0.017835790552415
"tBodyAcc-mean()-Z" "10" -0.111301532185714
"tBodyAcc-std()-X" "10" -0.537807711163265
"tBodyAcc-std()-Y" "10" -0.497405885644898
"tBodyAcc-std()-Z" "10" -0.614776952226361
"tGravityAcc-mean()-X" "10" 0.642905730306122
"tGravityAcc-mean()-Y" "10" -0.0740248544557823
"tGravityAcc-mean()-Z" "10" 0.0552047227876769
"tGravityAcc-std()-X" "10" -0.965808126428571
"tGravityAcc-std()-Y" "10" -0.95452407255102
"tGravityAcc-std()-Z" "10" -0.938706428064626
"tBodyAccJerk-mean()-X" "10" 0.0798108613061224
"tBodyAccJerk-mean()-Y" "10" 0.0129143257457823
"tBodyAccJerk-mean()-Z" "10" -0.0113556967940476
"tBodyAccJerk-std()-X" "10" -0.52938321427551
"tBodyAccJerk-std()-Y" "10" -0.540236619204728
"tBodyAccJerk-std()-Z" "10" -0.750729260772109
"tBodyGyro-mean()-X" "10" -0.0185023695936054
"tBodyGyro-mean()-Y" "10" -0.0846403674590918
"tBodyGyro-mean()-Z" "10" 0.0910265011879252
"tBodyGyro-std()-X" "10" -0.67390558227449
"tBodyGyro-std()-Y" "10" -0.591333155194558
"tBodyGyro-std()-Z" "10" -0.598142328621088
"tBodyGyroJerk-mean()-X" "10" -0.108150829882313
